Location,Category,Latitude,Longitude,time_estimate,pics
Hardin de Asis,Photography|Nature & Outdoor,14.144808,120.897442,45,hardin.jpg
St. Augustine Parish,Religious Sites,14.1306,120.904626,60,St. Augustine Parish.JPG
Olaes Resort,Nature & Outdoor|Stay & Accommodation,14.133869,120.88556,120,olaes.jpg
Paradizoo,|Adventure & Activities|Nature & Outdoor|,14.129339,120.894627,120,paradizoo.jpg
Kaia's Kitchen,Food & Dining,14.119631,120.909297,45,Kaias Kitchen.jpg
Yoki's Farm,Nature & Outdoor|Adventure & Activities,14.124375,120.87992,90,Yokis Farm.PNG
Louis Farm,Nature & Outdoor|Stay & Accommodation,14.12512,120.914486,90,Louis Farm.jpg
Enchante's Farm,Stay & Accommodation|Nature & Outdoor|Photography,14.125264,120.878715,120,Enchantes Farm.PNG
Noon Cafe,Photography|Cafe,14.118375,120.895916,60,Noon Cafe.PNG
Tres Tesoras Private Villa,Adventure & Activities|Stay & Accommodation,14.119077,120.913083,120,Tres Tesoras Private Resort.PNG
Tita Lola's House,Photography,14.12815,120.87796,10,Tita Lolas House.PNG
Kalmado Campsite,Nature & Outdoor|Stay & Accommodation,14.11016,120.89586,120,Kalmado Campsite.PNG
Juana's Private Resort,Stay & Accommodation|Adventure & Activities,14.11966,120.91063,120,Juanas Private Resort.PNG
Mr. Diego GreenLand Resort,Stay & Accommodation|Nature & Outdoor,14.12804,120.90169,120,Mr. Diego Greenland Resort.PNG
Chicks Ni Soy,Food & Dining,14.1294,120.90572,60,test.jpg
Chickoks Mendez,Food & Dining,14.11795,120.90968,60,test.jpg
Bukid Pamana,Stay & Accommodation|Nature & Outdoor,14.13505,120.88,120,bukid_pamana.JPG
Loft Mendez,Cafe|Stay & Accommodation|Photography,14.1312,120.88643,120,Loft Mendez.PNG
The Tapsi Shop,Food & Dining,14.11877,120.89469,60,The Tapsishop.PNG
Ejay & Ashlie Bulalohan Sizzling Steakhouse,Food & Dining,14.12095,120.90887,60,Ejay and Ashlie Bulalohan Sizzling Steakhouse.PNG
Juddies Bulalo at Inihaw Express,Food & Dining,14.12085,120.90911,60,Juddies Bulalo at Inihaw Express.PNG
Buenaventura's Garden Cafe,Cafe|Nature & Outdoor|Photography,14.11421,120.91659,60,Buenaventuras Garden Cafe.PNG
The Fern Gardens,Stay & Accommodation|Nature & Outdoor|Photography,14.11085,120.90068,120,The Fern Gardens.JPG
Sanctuario Nature Farms,Nature & Outdoor|Adventure & Activities,14.14978,120.90349,90,Sanctuario Nature Farms.PNG
Palocpoc Church,Religious Sites,14.1313,120.87673,60,test.jpg
Start Point,,14.115098,120.910245,,
Start Point,,14.154888,120.902931,,
