location,user,review
Hardin de Asis,Edneil Jocusol,My review is for the pool only. I love how clean and clear the water was. There was no slime and the chlorine level was not strong.
Hardin de Asis,Donnie C Solis,"Hardin de Asis  is truly a hidden gem nestled in the heart of Tagaytay. I stayed here with my friends and also had the opportunity to organize an intimate wedding and I must say, the venue was perfect.

The rooms are spacious, clean, and well-appointed, providing a comfortable and cozy stay. They offer a wide range of amenities and facilities that cater to both leisure and events. Above all, The genuine care of the owner of this resort including her staff for their guests truly sets them apart.  They went above and beyond to ensure that every need of their clients are met.

Whether you're planning a weekend getaway, a special event, or simply seeking a peaceful retreat, this resort and events place will not disappoint. Hardin de Asis has got you covered. Can't wait to be back here soon <3"
Hardin de Asis,Pablito Ratuita ,"We really had a great time staying here from our last company outing. Surely, we will book again!!!

A peaceful and a very relaxing place for everyone. A very versatile accomodation that welcomes infants, children, couples, godparents, and even our pets.Also,  a nice place to celebrate weddings, workshops, and trainings."
Hardin de Asis,Anne Michelle Perea,Hardin is really like a home away from home. The place is spacious enough to hold parties and gatherings. The parking lot can accommodate an ample amount of cars for the guests. The garden is very well-maintained and has a gazebo which is a perfect photo spot for events. The pool is very clean and I like that there are lots of outdoor furniture where we can lounge at even while or after swimming. The rooms are big and clean. Love the bunk beds and big beds which can fit large groups. It's perfect for families and friends who would like to have a mini staycation. A very peaceful and serene place where we can relax and unwind away from the busy city life but still very accessible. 10/10 would recommend.
Hardin de Asis,Ramila Cruzado,BEAUTIFUL PLACE! Lovely garden and pool. Clean rooms and spacious facilities. Great price for a private resort as big as this. Staff are so accommodating too. Our family loves the place and we will definitely come again. RECOMMENDED!
Hardin de Asis,Michael Lew Madrid,Great place with ample space for garden weddings and a big function hall. Rooms with beds are also available for big groups.
Hardin de Asis,Norizza Lopez,"Almost a place like home, the facilities looks so calm and relaxing. Although the locks on the shower areas inside each room is somehow broken and was hard to close but the rest is wonderful and very comforting. The ambiance is also almost perfect! ♡"
Hardin de Asis,Carl Ramirez,This is a big place but looks old even though they say its relatively new! Lots of parking but awful staff. Their in the hospitality business yet they have none of it. There was almost no water the while time we were there! Almost all the adults werent able to take a bath for 2 days we were there. Half of the showers are broken which dosent really matter coz there is no water. They were charging us for extra drinking water yet there was no water to even brush your teeth! The staff wouldnt let us in the rooms because some one was doing an ocular. Apparently future business is more important than the actual guests. Did I mention there is no water!!!
Hardin de Asis,Francesca Perea,"It has been a great delight to stay at Hardin de Asis. Not only is it affordable considering their amenities, but the staff were pretty accomodating as well which has been the greatest factor of my stay there. It's good to see that they actually clean the water at the pool everytime a new batch of guests comes, instead of just using the same water again. Parking space is great as it fits the whole families cars and we're even a big family. Plus the, bamboo fence is such a big aesthetic. Thank you for letting us stay at Hardin de Asis! ♡♡♡"
Hardin de Asis,Horhe Flores,"We enjoy our stay in this place perfect for all kinds of events like bdays, weddings, or any family gatherings.The place is very spacious.Complete emeneties - parking can accomodate 20 maybe 30 cars, Dining hall can accomodate 100 to 150 pax, rooms good for 30 to 40 pax maybe 50 max.They habe complete kitchen utensils, gas and stove, ref, cook wares and grilling place.And their pool is so wide and the water is not too chlorinated.All in all this place is worth every peso.And also they are helping an cancer patients for every stay."
Hardin de Asis,Thea Leonen,"It was a great experience when we stayed there last month. The staff are very kind and accommodating. They politely explained to us that the videoke is just until 10PM due to Local government policy, which is understandable. That's the rules that the resort has to comply. The place is very chill and homey vibe. If you really want to rest and have quick weekend getaway, this place is perfect."
Hardin de Asis,allan yatco,"The place is very nice, it has an ample parkIng lot, a gazebo and a swimming pool, it has 4 large bedrooms with H/C showers. An activity area which sits 60-80 pax. A kitchen, ref and a videoke. I would highly recommend this place to aĺl my friends and family..."
Hardin de Asis,Daisy Manzanal-Cortez,"Had our company Christmas party here. We stayed overnight. The hall for the party is spacious enough. The rooms are adjoining so there is no privacy. Really annoying if you're with someone who snores. The next day they ran out of water, too bad for me, I was not able to take a bath."
Hardin de Asis,Victor Israel Espulgar,10/10 overall experience. Nice room and refreshing pool. The business responds promptly to inquiry and questions. Great for events and big group reunion. We will definetly return back here.
Hardin de Asis,Cirnyl Daa,Very kind and polite management. Super clean too! We had an ocular in the place and we saw them clean and disinfect. Highly recommended for private events.
Hardin de Asis,anisia GARCIA,"Had a great stay last Nov. 30. Tagaytay weather, peaceful, so relaxing and very accommodating staff. will surely be back again!! Thanks for the beautiful memories with family and friends. Badly needed this break during this  challenging year <3"
Hardin de Asis,Alea Christine Saludes,"The place is nice and spacious, however, their customer service is AWFUL. During the night of our visit, one of their personnels kept on telling us to keep quiet even though we were having a normal conversation. Bawal na nga mag swimming after 10pm, bawal pa magkwentuhan. After that, upon checkout naliligo pa yung mga kasama namin pinatayan na kami ng tubig kahit wala pang 12pm. Tapos sira pa ang ref, heater and marumi ang comfort rooms. They are all rude! This place is not worth your money! If you want to have fun and swim all night with your family, this is NOT the place for you. We will never go back there. WE HAD A VERY DISAPPOINTING AND AWFUL EXPERIENCE. You would only see positive reviews because they delete all the negative reviews of their resort!"
Hardin de Asis,Brian Arvin Garcia,"We had our Pre-nup pictorial, A good place to relax, and accomodating staff. We had a great time 🙂, thank you Ms. Nikki for accomodating Us ❤️💕❤️, Me and my wife highly recommend this Place. …"
